file_name,category
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e2882338faada7156ffd252cc0cd48d5abcf7c95.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e18ffabe7cb7253e7cb669138815e5394393d2d0.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/028d598ab1e97b1541854e2c50b77295e096a3a4.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ef121132958b884e7c06d85036eec5bae8cd2578.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/cc089eff994c1382ec927a5d57e589515a6e45b2.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/8959e454e171a85eb0d74558dd621bd8dfbfec24.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/022d44775529ed39248866e986b8701109df4f79.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/0342b2ce6539c8d8769e8c1da2d9b2680fd4082b.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/08a2fbdaed38545df6ae36711bb46e770c789e91.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/4be6b133764fd9dbce9cc55e0ac3bd2594740c99.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/cd35f2f5fcbe1416eb9f4ed396743a09a4112e76.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/616c204c9e74551ad219ae7b888b2e9d16ec0a1b.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/9bf5bf872209f3cdfbd4a9e6d2632cf280bc409c.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/579980b0d43afcb0186ed4a27697b408abd3893c.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/f2ec0002bba6ce4044d6a323ecb7d17fdaf6d573.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/54a7f1e7840428cd57985952e78d0e806ec77579.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/af5222880514c1dffe00516d4b48c42eada21646.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/3da26f7044bf3e0302ab18f613a29293fdd241bf.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ee090aaf84b47a044ae01f3c5662176a410dcf48.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/6d1dae9e9fff6ddbe9eb2a863f8d0e41c1a4bb13.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/989cc3d043953b716f42ff5df9744bd37b0cd4b2.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/0edabea007150193859b39031283ec4f0fa6ca1b.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/450274eaefb9e436b98119802fcd033c872ac3f2.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/3b904d43813e529494b1f6b34cfd2b237d9661ff.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/faeb72713d6d104322cb39132dfba861144e1a2d.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/4618c5aae943a657aded40757858b742037fde1d.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e65664de8742bc9ae7b57a7884a3997205e77b1b.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/a5fef6363517e56e446cbfced89f46f851eaf476.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/f7d7a8dfa75b4e917711ada99f0420704fda7f5c.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/a564822562f4a49e138157bf208d03f8de55ffcd.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/f3c3c0e1fecd904d744bd60b912c85420902d5c5.jpg,1
