file_name,category
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/86a70a9e21c11bd96762ef46abbbcaea99f503de.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/689a81864a93b659d5347e74ac35579634f95233.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/d77c53f062d3afc7041e733ba1f3cfa8a2ce4bd6.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e1c8b2a397720f4edacf7e40af0d06d2d0fcc5d9.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e6b6df06b39476c8e04315d44a12fd3f895b5b6b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/72eaf8c0897a03c7de48955dcc05089c6cad3f57.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/1505049664342b76e174f6affc2c4d6dd0c8d77b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/9716ec3d75dc4136710612d6e5dbfe7ba9235af4.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e3dd701b0aaaa5ba4abc30cd49f6bdd9d1f58ec4.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d5ab79d8a2cad22909ada7fec272af3f9049bdea.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/b86ec7231a238c0f10e45be3a213fd426efb6120.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/f7f965c0e79ea851d5f82b91b9fdbf6a811c80c5.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/af5222880514c1dffe00516d4b48c42eada21646.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/f0f88d2536324da1c8cfba33d020d213b4ac7414.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/93d546be32a8b84c841918240c633849832058bd.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/2ba48219421123394a7342924b96b40d68e0ec3b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d87b974127ef7b6a7d762c961b2501ddffbe0561.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/6066125f8679e9bf19dcf3942ac6e410cb5dc1bc.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/76cf9b76fe8f1816ef8494b64e047ebfdc40b967.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/4f608d0682667a216663609fcccbea425fcad731.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d870eeb938632c1fa4577005072db26de1c6e271.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/70a3308f2e5774bd393f4e86c0135800d5a7b15e.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/f6cdc09c8553eac95adadaccedee9f022e2323ec.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/908e18c679f25b0d28401ec01d8663dbe9e203ae.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/90268ae68b81b025022fdd4d2b3138abd955c79e.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/b0e3b087b174e7d7637e03e6cdee330f27f9a3d8.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/292a072d36b18afaf102fc0b3700003c092977ea.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/db774dbbb2dc3174a72b46e68e56fdd3f9485f9e.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/4623d281156df04c2cdd52a0ff072c442ea37236.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/bab921d45dcc218b0f4279c3152de16bea8c1919.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/f938fadfdf52883029b6f08b193a4984ce195cb6.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/473261a977604c542b47f4c9fa6c59b221979aac.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/205085ea3f550a8f252ed91266a4a61ca69741c8.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/978cf4170c5ce3c4680b4a225288aa171e047304.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/aa0aaead850df7dd5023634a0d4611bedbb080fa.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/cdb4434e8e6fc89186d8e3424dce8344f5869a99.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/9030751ffcfb0b6f91a591aa5db3fc3cdae13ab2.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/ada4e9c2b8d38dc48e130b4107db5acf18aaa77e.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/4f89dd55ca5c93c5834288c2931030f34d946980.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/10ac327f0513e4a367a9cf21ad64ff2c8a2ef143.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/5803d96d1f58be93f1a0b330931d476b9fbd0e26.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/11733d7232d21b891dffdcb885930efa6e50b65f.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/083bb9fe8126fe171dade706f54bc66595f7aad7.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/061b564c3a42b06a2cf7b1e0b31ad7ddee2ff05a.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/b4c299dd801cf6586bcc7163988d97c39e91db19.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/898569cab954599e9574f40bc8af4fb630bfe9f0.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/1ef43290539eb48a757efeb03dccc752b01b409b.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/70cc1e5d9d48d4de402f1f918693348187e8349f.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/3783bf4f2bfe12c6452d4fb9946ac0f4db0a4fdf.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/f70fcf9fa0f976f6ba685430b8f1e44dbc3ed8d5.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ecc0228e3b71f19d92fa6877a061d2a0e57e8ad7.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e2b4488667f296a6c08bdfefd72d5df9e3d1e354.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/a5f733271f4d31dda06f02a2c97d07403f608a6a.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d7476d8c9274293fffab46749176bfa68235f79a.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/5261f98642de85b57c0b3e9f8e4255e006907a43.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/15216f6175b55d029d12a5fe75734c739fcbd585.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/067adc8b0565897b11e5c3efb672bfc90e1efe29.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/5816ae24e0dd410e438dfeb07072afdf5c2d015a.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e610e1d558c37b007bde133e669495877f923b16.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e6a91736d637947d96b7952b9bc27efaf1219d43.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/357c4c52254de7687d02d0e89d4a98d2dc0d46f1.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/49a521aef1e1fe02f1255b76749b555e0fa7b031.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/4646c75a531607154dad2e3347b0a73a78528fa3.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/fca8db1ee0dc2e2da5dfa001a2619c48dc2a58b8.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/be504102e0da18e6a31f1859126b455c87aafda3.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e5e9326b5610fb359c9116eb57aab4dede095fe6.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ead0306c41541f66c8f99e72fd940934a2438df9.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/490b69293fc6a19e9af8ce5c2eac5b72e715ed8e.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/70e580a589598a6212deab7aef116515e9babd34.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/789074362951583b4cc8c87e624057e5717d8c91.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e91715a0787052f06c169a48996a62943988f6bf.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/7ef000c4ef4cbe6b8d77ae846348a23d74c13b04.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e948402b41ee2c5c774574c24f36807e2e6cc2dd.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ae419f9d25cf9af0b4f72b175f33dc4ca6533fb3.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/c86c97175ff0aa0cd8ed668287b59ecad2abcb65.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/36652b4df6edd109794cf96649e86182575f8ae7.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/c8597e5dadfe75ffbffcf3028dc7ec87023b9308.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/51bd4b51696c2762505221477ab07d26137b13b6.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/8b80e8b58c7a8c0eeec31752e433088bdbcbd0d3.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/c712db9d1c026c5cf467d6770173268ce6f310d3.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ec67bb5ea69eddea2823ace711f02bf80393bae9.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/914cf9b9a20d470eb24ea0cc9ba5018d953a7164.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d2078e12d17505cca459412d96ffe994a9f569d2.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/a1f20e4c3d5996ef465c770d9a22d1442ad45974.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/f55310f9fe0fce4cdf48d9f6acaf186f41a24ed7.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/77ee17f4d7f436af109be0815c1a6fec24496856.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e065b1177b8ccd6f71edc05fc33acc01b7ef42bb.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e82d1b77f5ba52c6dad0cca9b657c6b0e19e1d57.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/cd97c58ddb06a7edcdd5fe3e3a063dbcec4097ec.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/db39a2d8586c36a68219d4b1333be3140406c78b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/5b09fff4cffaae6024e37986e211bbb78d342a4d.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/a19285318294aeb587a522c676814d338f5775e2.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/a36bfe22fc245319767f3bed0cbab2ff915d5831.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/eb4b91c0d2cabc1056f5f617c40d4ddc4e33370a.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/ae8fbf2cd2f10b352bb44c024dbab1478ce2bc6b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/21684ca5fbbf21c8150110161fe3f2c3f6fcfa78.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/351e7b0073ac0f8165e2621a9015d4ca2458aeb6.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/91ea56b1b7c3dae8b5f243367b6dfbb82936b844.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/141a679a22b7b2494ce1269096750c88d770527a.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/60909da47531b2abc9536d8d8351c49bf3f1d0b1.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/d53a061dc8e42e62bfd90e2b3ddd881f49004d32.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/92b7c07a165ebb300417620233319d0309a99b58.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/a0d88a3dad907103670e4dda789fefd5b4faaf02.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/f9f24839bd9d1f7ffbb18dcdc241773306e8a7a6.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/ca09bc5439863574530a5cea46928cec8893cdd3.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/dcdaa2e126dea8eb6437c832af63bf8b23c6ec5e.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/d3303450f9782895e5eb43d46baa9ef8712e5903.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d795a54f5d54f56b22bba30de3e3c2477f2e0672.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d31e8322d6e787de25f5eb03558dd554403827e3.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/c5ec7ed0a604934b5b51c73e876cca1dd19f491a.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/efbc2785ff904ac4d7a429bb5bffb9d46a540ea9.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/44f7a6314099c630c31190d9bbb258d5b6291535.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/18d93ec483f3ec51a0dde14857fff80ee5e281f2.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/4e4a8ede9fd5a8e3b3b5e4887b81773d3b5e6f9b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/f2932b7cff4c8969c67b189e1b4e23afc4327425.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/eae1970b1508ee0534e766242d3ab880db6b92e4.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/ec50ecc94359f97089ece512561fa3e95fb0b020.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/90618663050fe56565846090ac4b025d0fbc80e5.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/e9357f0091702a0eaa60ba265c6e8550d034787a.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/83946825e82b6e37f20d54ee8968949ca96c4254.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/60979360d4f5b410f20290ce22fa8173d6fe6fa4.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/ea0ddee16de69896f3e6e664336e6b24031036d8.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/fdcf5e4a0427a48a7ca9826f0d9288acb35b0449.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/58ae3fd7e91db2cdeaeea72e7d6ab3d1ebf11773.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/070fa837307eec331f8828dc9ce9b5101c1262aa.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/dfa48f7735b6e685ace51e14b7036f6788bee407.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/640ae53ada4802041e60cf9cfc444fdf05f79f8c.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/728332326224afc429c741c8bd9a3e886ac95638.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/c0e0a486854980287cfbaf9d33bb4506207de315.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/8009748da2dd020db62fcd0fbd58ae982e7e8ba8.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/f5c9ce618c50c2cde1cc349d9e47673955869c4d.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/b7c5a0cb74f038f7458c75f4c6d97c776f7a4c90.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/bd13cf69083b646ecf29f11980b26de5c3187b81.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d737a4d578688dc864ccc17a971c35311f630590.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/d5bea125a09aed0738d69511889a70f2820a2a6b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/ca40ff3196517bda2fe8451bc482c362d7ee68fe.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/cb353ab70e3b1755d9e239f9ccd54381669b40ac.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/5db0c77072249cbb386234e7bd4f74f8b8c25645.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/fee54331f0ab999ce8daec11eee2b4a2b4cfcba5.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/21f917c62a4b7af6a84c5ce4b4bb384c03e9de59.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/41c158b8e292106637e6b396edc4e4f5eb810460.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/ca233d880f25af7a534b85131a96d23f74904b80.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/35199e43e9413973026c54e276ef547cc8d61243.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/f9876c8d81794a9565c8d026f529d4c42f821033.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/a750908c7d8628cd3ead7ff10ece9be74fd3f54d.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/8d9ff5a84509857ec4b8747fef466dada974c831.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/1574a14f7d3461852ec0a6eb2ea495aaadf935f4.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/295196d01e7b6e223f8affd0520c51980292e49d.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/c6c6d5cddcaafd4746f4bc7697f7bad5cb0f562d.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/168c47f2cc7b1565affe0ab2a9914005654be892.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/56197ae364233006773dab39de38b495c885c935.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/62c48d4b9f9f96756597a9f8ef725db3ed0771e4.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/0663a2598e3bac21d4324cc3fa2d15633ebca90c.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/2dcb96934423525150f5de298c44c0f7344d1790.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/d05d4a23ef46b4944b34b67d33a5a2d168b8a5fc.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/07960b9a6806f21e8e2e01895e967382d233b0e0.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e3a3b4201fb6cfbbd5dca73a83e10383d64f33ad.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/fefad711fe3a328b2506aeb208ca90ee94a5d0fe.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/80a7389c2ebb54cfa7ebd653211e1be8607f8a81.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/bca9b84c3629575186aec144e5a8354436822ca5.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/6afd129b6da2fa2b6783c5a3e005fabe13d54e35.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/afafacb3da3cc5f445c6feeb6569f5a177ac6805.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ea12d9307289d4288367fd3b87bd154f70243f76.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/fa8aba0ef46c8ac4ae3898f0d7a2d81e3bb7ee3c.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/ea02cf6e786fa10ec400a74b6e22f6f7d298fd3a.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/518cfdb33ebe81fc7576c597e282a1759389bf7f.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/428c0d454b815af57168687d2860d3c9d88f7380.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/2965d9a35d7c920fa094de74c53c57c5e037dd51.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/441e65dea66703e9fd22e15ca0fb0ecb0316e26c.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/4616f93cb17aed005ff98fdb4ed47a4272033dad.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/7125c87ceb6ce1d9b82bfbff64ba9e5781ef4fc9.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/9ed94de49883e8b77afcc9fa6082b9e49d6e246e.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/75cca2fe2e8735ab63bea4c586c106f7ba495acc.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/434bbef6c5af10fdb0f7f6df5bd405fcb8369575.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/af58a10c48a4e4c30654ed18db6170374f19a47f.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/acb8951eef5d2e9aa9e72514e3bbca354d4fd3f2.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/611c1a7040b5827fa5e2bb71e00bd8bc063106bd.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/367b67fb4f5f03f4181176c743c7936c9954f9e1.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/a2763b77fde6ea5795c2dfef2a6999d8806a29e7.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/526212a15d91f53c40074c9c76b78caa704b6242.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/11bc2db55fb081a9d6b86e582df5fcf29e04216b.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/86e6179064312dee282ab3b40607dfb2840b9d73.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/fa21e0359bad7f2696886f1d7232eb3d08cb8023.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/98af0aecfaa22b06b830489a5933feffb4ea7041.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/painting/5c81057c90d1e7b0096dda632ab94d8770cc234b.jpg,1
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/e375caeed3fc3cc79d55c16fb70a276a9dcbf083.jpg,0
../input/painting-vs-photograph-classification-dataset/Raw Data/photos/93fc09dbfaa43d3dbb8f5383e7c786640c1713d1.jpg,0
